(-0.250000, 0.500000, 0.234375) (-0.250000, 0.500000, 0.234375) (0.000000, 0.000000) 
(0.000000, 0.500000, 0.250000) (-0.250000, 0.500000, 0.250000) (0.000000, 0.000000) 
(-0.250000, 0.750000, 0.546875) (-0.250000, 0.500000, 0.546875) (0.000000, 0.000000) 
(-0.250000, 0.750000, 0.546875) (-0.250000, 0.500000, 0.546875) (0.000000, 0.000000) 
(0.000000, 0.500000, 0.250000) (-0.250000, 0.500000, 0.250000) (-107374176.000000, -107374176.000000) 
(0.000000, 0.750000, 0.562500) (-0.250000, 0.500000, 0.562500) (0.000000, 0.000000) 
(-0.250000, 0.750000, 0.546875) (-0.250000, 0.750000, 0.546875) (0.000000, 0.000000) 
(0.000000, 0.750000, 0.562500) (-0.250000, 0.750000, 0.562500) (0.000000, 0.000000) 
(-0.250000, 1.000000, 0.984375) (-0.250000, 0.750000, 0.984375) (0.000000, 0.000000) 
(-0.250000, 1.000000, 0.984375) (-0.250000, 0.750000, 0.984375) (0.000000, 0.000000) 
(0.000000, 0.750000, 0.562500) (-0.250000, 0.750000, 0.562500) (-107374176.000000, -107374176.000000) 
(0.000000, 1.000000, 1.000000) (-0.250000, 0.750000, 1.000000) (0.000000, 0.000000) 
(0.000000, -0.500000, 0.250000) (0.000000, -0.500000, 0.250000) (0.000000, 0.000000) 
(0.250000, -0.500000, 0.265625) (0.000000, -0.500000, 0.265625) (0.000000, 0.000000) 
(0.000000, -0.250000, 0.062500) (0.000000, -0.500000, 0.062500) (0.000000, 0.000000) 
(0.000000, -0.250000, 0.062500) (0.000000, -0.500000, 0.062500) (0.000000, 0.000000) 
(0.250000, -0.500000, 0.265625) (0.000000, -0.500000, 0.265625) (-107374176.000000, -107374176.000000) 
(0.250000, -0.250000, 0.078125) (0.000000, -0.500000, 0.078125) (0.000000, 0.000000) 
(0.000000, -0.250000, 0.062500) (0.000000, -0.250000, 0.062500) (0.000000, 0.000000) 
(0.250000, -0.250000, 0.078125) (0.000000, -0.250000, 0.078125) (0.000000, 0.000000) 
(0.000000, 0.000000, 0.000000) (0.000000, -0.250000, 0.000000) (0.000000, 0.000000) 
(0.000000, 0.000000, 0.000000) (0.000000, -0.250000, 0.000000) (0.000000, 0.000000) 
(0.250000, -0.250000, 0.078125) (0.000000, -0.250000, 0.078125) (-107374176.000000, -107374176.000000) 
(0.250000, 0.000000, 0.015625) (0.000000, -0.250000, 0.015625) (0.000000, 0.000000) 
(0.000000, 0.000000, 0.000000) (0.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.250000, 0.000000, 0.015625) (0.000000, 0.000000, 0.015625) (0.000000, 0.000000) 
(0.000000, 0.250000, 0.062500) (0.000000, 0.000000, 0.062500) (0.000000, 0.000000) 
(0.000000, 0.250000, 0.062500) (0.000000, 0.000000, 0.062500) (0.000000, 0.000000) 
(0.250000, 0.000000, 0.015625) (0.000000, 0.000000, 0.015625) (-107374176.000000, -107374176.000000) 
(0.250000, 0.250000, 0.078125) (0.000000, 0.000000, 0.078125) (0.000000, 0.000000) 
(0.000000, 0.250000, 0.062500) (0.000000, 0.250000, 0.062500) (0.000000, 0.000000) 
(0.250000, 0.250000, 0.078125) (0.000000, 0.250000, 0.078125) (0.000000, 0.000000) 
(0.000000, 0.500000, 0.250000) (0.000000, 0.250000, 0.250000) (0.000000, 0.000000) 
(0.000000, 0.500000, 0.250000) (0.000000, 0.250000, 0.250000) (0.000000, 0.000000) 
(0.250000, 0.250000, 0.078125) (0.000000, 0.250000, 0.078125) (-107374176.000000, -107374176.000000) 
(0.250000, 0.500000, 0.265625) (0.000000, 0.250000, 0.265625) (0.000000, 0.000000) 
(0.000000, 0.500000, 0.250000) (0.000000, 0.500000, 0.250000) (0.000000, 0.000000) 
(0.250000, 0.500000, 0.265625) (0.000000, 0.500000, 0.265625) (0.000000, 0.000000) 
(0.000000, 0.750000, 0.562500) (0.000000, 0.500000, 0.562500) (0.000000, 0.000000) 
(0.000000, 0.750000, 0.562500) (0.000000, 0.500000, 0.562500) (0.000000, 0.000000) 
(0.250000, 0.500000, 0.265625) (0.000000, 0.500000, 0.265625) (-107374176.000000, -107374176.000000) 
(0.250000, 0.750000, 0.578125) (0.000000, 0.500000, 0.578125) (0.000000, 0.000000) 
(0.000000, 0.750000, 0.562500) (0.000000, 0.750000, 0.562500) (0.000000, 0.000000) 
(0.250000, 0.750000, 0.578125) (0.000000, 0.750000, 0.578125) (0.000000, 0.000000) 
(0.000000, 1.000000, 1.000000) (0.000000, 0.750000, 1.000000) (0.000000, 0.000000) 
(0.000000, 1.000000, 1.000000) (0.000000, 0.750000, 1.000000) (0.000000, 0.000000) 
(0.250000, 0.750000, 0.578125) (0.000000, 0.750000, 0.578125) (-107374176.000000, -107374176.000000) 
(0.250000, 1.000000, 1.015625) (0.000000, 0.750000, 1.015625) (0.000000, 0.000000) 
(0.250000, -0.500000, 0.265625) (0.250000, -0.500000, 0.265625) (0.000000, 0.000000) 
(0.500000, -0.500000, 0.375000) (0.250000, -0.500000, 0.375000) (0.000000, 0.000000) 
(0.250000, -0.250000, 0.078125) (0.250000, -0.500000, 0.078125) (0.000000, 0.000000) 
(0.250000, -0.250000, 0.078125) (0.250000, -0.500000, 0.078125) (0.000000, 0.000000) 
(0.500000, -0.500000, 0.375000) (0.250000, -0.500000, 0.375000) (-107374176.000000, -107374176.000000) 
(0.500000, -0.250000, 0.187500) (0.250000, -0.500000, 0.187500) (0.000000, 0.000000) 
(0.250000, -0.250000, 0.078125) (0.250000, -0.250000, 0.078125) (0.000000, 0.000000) 
(0.500000, -0.250000, 0.187500) (0.250000, -0.250000, 0.187500) (0.000000, 0.000000) 
(0.250000, 0.000000, 0.015625) (0.250000, -0.250000, 0.015625) (0.000000, 0.000000) 
(0.250000, 0.000000, 0.015625) (0.250000, -0.250000, 0.015625) (0.000000, 0.000000) 
(0.500000, -0.250000, 0.187500) (0.250000, -0.250000, 0.187500) (-107374176.000000, -107374176.000000) 
(0.500000, 0.000000, 0.125000) (0.250000, -0.250000, 0.125000) (0.000000, 0.000000) 
(0.250000, 0.000000, 0.015625) (0.250000, 0.000000, 0.015625) (0.000000, 0.000000) 
(0.500000, 0.000000, 0.125000) (0.250000, 0.000000, 0.125000) (0.000000, 0.000000) 
(0.250000, 0.250000, 0.078125) (0.250000, 0.000000, 0.078125) (0.000000, 0.000000) 
(0.250000, 0.250000, 0.078125) (0.250000, 0.000000, 0.078125) (0.000000, 0.000000) 
(0.500000, 0.000000, 0.125000) (0.250000, 0.000000, 0.125000) (-107374176.000000, -107374176.000000) 
(0.500000, 0.250000, 0.187500) (0.250000, 0.000000, 0.187500) (0.000000, 0.000000) 
(0.250000, 0.250000, 0.078125) (0.250000, 0.250000, 0.078125) (0.000000, 0.000000) 
(0.500000, 0.250000, 0.187500) (0.250000, 0.250000, 0.187500) (0.000000, 0.000000) 
(0.250000, 0.500000, 0.265625) (0.250000, 0.250000, 0.265625) (0.000000, 0.000000) 
(0.250000, 0.500000, 0.265625) (0.250000, 0.250000, 0.265625) (0.000000, 0.000000) 
(0.500000, 0.250000, 0.187500) (0.250000, 0.250000, 0.187500) (-107374176.000000, -107374176.000000) 
(0.500000, 0.500000, 0.375000) (0.250000, 0.250000, 0.375000) (0.000000, 0.000000) 
(0.250000, 0.500000, 0.265625) (0.250000, 0.500000, 0.265625) (0.000000, 0.000000) 
(0.500000, 0.500000, 0.375000) (0.250000, 0.500000, 0.375000) (0.000000, 0.000000) 
(0.250000, 0.750000, 0.578125) (0.250000, 0.500000, 0.578125) (0.000000, 0.000000) 
(0.250000, 0.750000, 0.578125) (0.250000, 0.500000, 0.578125) (0.000000, 0.000000) 
(0.500000, 0.500000, 0.375000) (0.250000, 0.500000, 0.375000) (-107374176.000000, -107374176.000000) 
(0.500000, 0.750000, 0.687500) (0.250000, 0.500000, 0.687500) (0.000000, 0.000000) 
(0.250000, 0.750000, 0.578125) (0.250000, 0.750000, 0.578125) (0.000000, 0.000000) 
(0.500000, 0.750000, 0.687500) (0.250000, 0.750000, 0.687500) (0.000000, 0.000000) 
(0.250000, 1.000000, 1.015625) (0.250000, 0.750000, 1.015625) (0.000000, 0.000000) 
